URL Origen,Categoría Académica,Mes Comercial,Leads Nuevos MKT,Cupones,Matrículas
https://ceac.com/formacion-profesional/grados-superiores/comercio-marketing/marketing-publicidad,FP - oficiales,ago. 2025,1,1,0
https://ceac.com/formacion-profesional/grados-superiores/informatica-tecnologia/administracion-sistemas-informaticos,FP - oficiales,oct. 2025,2,1,0
https://ceac.com/pruebas-libres/electricas-automaticas,FP - pruebas libres,sept. 2025,1,1,0
https://www.ceac.com/cursos/formacion-tecnica/salud/entrenador-personal-y-fitness,Cursos,oct. 2025,1,1,0
https://www.ceac.com/pruebas-libres/electricas-automaticas?utm_source=chatgpt.com,FP - pruebas libres,ago. 2025,2,1,0
https://www.ceac.com/pruebas-libres/laboratorio-clinico-biomedico,FP - pruebas libres,ago. 2025,1,1,0
https://www.ceac.es/,FP - oficiales,ago. 2025,9,7,3
https://www.ceac.es/,FP - oficiales,sept. 2025,28,24,2
https://www.ceac.es/,FP - oficiales,ene. 2026,19,17,2
https://www.ceac.es/,FP - oficiales,jun. 2024,10,5,2
https://www.ceac.es/,FP - oficiales,oct. 2024,2,2,2
https://www.ceac.es/,FP - oficiales,dic. 2025,10,10,1
https://www.ceac.es/,FP - oficiales,abr. 2026,9,7,1
https://www.ceac.es/,FP - oficiales,feb. 2026,9,8,1
https://www.ceac.es/,FP - oficiales,jul. 2024,6,3,1
https://www.ceac.es/,Cursos,ene. 2026,4,3,1
https://www.ceac.es/,FP - pruebas libres,sept. 2024,2,2,1
https://www.ceac.es/,Oposiciones,mar. 2026,2,2,1
https://www.ceac.es/,FP - pruebas libres,dic. 2024,1,1,1
https://www.ceac.es/,FP - oficiales,oct. 2025,15,14,0
https://www.ceac.es/,FP - oficiales,jul. 2025,10,8,0
https://www.ceac.es/,FP - oficiales,ago. 2024,9,4,0
https://www.ceac.es/,FP - oficiales,nov. 2025,8,6,0
https://www.ceac.es/,FP - oficiales,jun. 2025,7,7,0
https://www.ceac.es/,FP - oficiales,nov. 2024,7,5,0
https://www.ceac.es/,FP - oficiales,ene. 2025,7,3,0
https://www.ceac.es/,FP - oficiales,mar. 2025,6,4,0
https://www.ceac.es/,FP - oficiales,may. 2025,6,4,0
https://www.ceac.es/,FP - oficiales,sept. 2024,6,3,0
https://www.ceac.es/,FP - oficiales,feb. 2025,5,4,0
https://www.ceac.es/,Preparación pruebas oficiales,sept. 2025,5,4,0
https://www.ceac.es/,FP - oficiales,abr. 2025,4,4,0
https://www.ceac.es/,FP - oficiales,mar. 2026,4,4,0
https://www.ceac.es/,Cursos,ene. 2025,3,2,0
https://www.ceac.es/,Cursos,mar. 2026,3,2,0
https://www.ceac.es/,FP - pruebas libres,ene. 2025,3,2,0
https://www.ceac.es/,Cursos,sept. 2025,2,2,0
https://www.ceac.es/,Cursos,dic. 2025,2,2,0
https://www.ceac.es/,FP - oficiales,dic. 2024,2,2,0
https://www.ceac.es/,FP - pruebas libres,jul. 2025,2,1,0
https://www.ceac.es/,FP - pruebas libres,feb. 2025,2,0,0
https://www.ceac.es/,Oposiciones,abr. 2025,2,2,0
https://www.ceac.es/,Oposiciones,sept. 2025,2,1,0
